region,state,name,sex,age,2011,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
0,0,United States,0,0,3963071,3926665,3945610,3948350
0,0,United States,0,1,3966510,3978006,3943077,3962123
0,0,United States,0,2,3971573,3979952,3992690,3957772
0,0,United States,0,3,4102501,3983049,3992425,4005190
0,0,United States,0,4,4122303,4112638,3994047,4003448
0,0,United States,0,5,4087713,4132210,4123408,4004858
0,0,United States,0,6,4074979,4097780,4143094,4134352
0,0,United States,0,7,4083240,4084964,4108615,4154000
0,0,United States,0,8,4053206,4093213,4095827,4119524
0,0,United States,0,9,4035769,4063193,4104133,4106832
0,0,United States,0,10,4135617,4045840,4074206,4115254
0,0,United States,0,11,4197472,4145919,4057128,4085636
0,0,United States,0,12,4126168,4208013,4157449,4068790
0,0,United States,0,13,4124244,4136951,4219776,4169346
0,0,United States,0,14,4131487,4135749,4149559,4232480
0,0,United States,0,15,4158977,4144326,4149781,4163723
0,0,United States,0,16,4247472,4174855,4161624,4167234
0,0,United States,0,17,4334068,4267749,4196868,4184077
0,0,United States,0,18,4387329,4345329,4279458,4209973
0,0,United States,0,19,4473487,4382504,4336314,4274100
0,0,United States,0,20,4538720,4489348,4395655,4353919
0,0,United States,0,21,4521606,4561557,4509570,4418106
0,0,United States,0,22,4337270,4548601,4589669,4537358
0,0,United States,0,23,4239942,4371774,4585110,4625145
0,0,United States,0,24,4174013,4275219,4409458,4622549
0,0,United States,0,25,4201927,4208137,4311735,4445674
0,0,United States,0,26,4249828,4233660,4242696,4345824
0,0,United States,0,27,4126053,4279752,4267316,4276071
0,0,United States,0,28,4204882,4152946,4309863,4298220
0,0,United States,0,29,4218005,4229272,4179978,4337242
0,0,United States,0,30,4183349,4239152,4253262,4204555
0,0,United States,0,31,4278747,4202021,4259974,4274545
0,0,United States,0,32,4018775,4295361,4221130,4279181
0,0,United States,0,33,3946022,4033119,4312243,4238291
0,0,United States,0,34,3912522,3958877,4047572,4327332
0,0,United States,0,35,3802767,3924078,3972004,4060723
0,0,United States,0,36,3927065,3812394,3934902,3983377
0,0,United States,0,37,3808786,3935464,3822094,3944638
0,0,United States,0,38,3874238,3816898,3944564,3831675
0,0,United States,0,39,4058278,3882277,3826277,3954384
0,0,United States,0,40,4301034,4065017,3890005,3834416
0,0,United States,0,41,4365240,4305639,4071013,3896141
0,0,United States,0,42,4143998,4368743,4310147,4076296
0,0,United States,0,43,4065610,4146526,4371447,4313988
0,0,United States,0,44,4078017,4067033,4148307,4373174
0,0,United States,0,45,4162756,4077951,4067091,4148659
0,0,United States,0,46,4422363,4160316,4076053,4065488
0,0,United States,0,47,4512878,4417529,4156638,4072981
0,0,United States,0,48,4517985,4505576,4410810,4151130
0,0,United States,0,49,4517283,4508687,4496710,4402564
0,0,United States,0,50,4580845,4505772,4497577,4486171
0,0,United States,0,51,4627376,4566807,4492218,4484514
0,0,United States,0,52,4479505,4610981,4550667,4477147
0,0,United States,0,53,4459907,4461486,4592866,4533392
0,0,United States,0,54,4417255,4439950,4441824,4572917
0,0,United States,0,55,4265317,4395226,4418026,4420322
0,0,United States,0,56,4235079,4242253,4371384,4394523
0,0,United States,0,57,4068251,4210403,4217503,4346438
0,0,United States,0,58,3920624,4042662,4183593,4191151
0,0,United States,0,59,3775599,3894030,4014624,4155005
0,0,United States,0,60,3666890,3747814,3864935,3985150
0,0,United States,0,61,3588332,3637575,3717561,3834276
0,0,United States,0,62,3489568,3557642,3605886,3685772
0,0,United States,0,63,3461368,3456741,3523865,3572353
0,0,United States,0,64,3614293,3425840,3421011,3488075
0,0,United States,0,65,2675970,3574805,3388166,3384449
0,0,United States,0,66,2646389,2644091,3531557,3347776
0,0,United States,0,67,2586335,2612156,2609726,3485502
0,0,United States,0,68,2654140,2548804,2574784,2572527
0,0,United States,0,69,2321963,2612207,2508782,2535012
0,0,United States,0,70,2129733,2282169,2567340,2466485
0,0,United States,0,71,2023019,2090057,2239534,2519748
0,0,United States,0,72,1912459,1981768,2047549,2194234
0,0,United States,0,73,1840179,1869510,1937455,2002191
0,0,United States,0,74,1705665,1794816,1823535,1890366
0,0,United States,0,75,1638735,1659415,1746314,1774697
0,0,United States,0,76,1581387,1589617,1609791,1694648
